repo,visibility,category,cv_mapping,doi,pmid,manuscript_source,copyright_status,readme_gaps,data_code_sensitivity,run_command,dependency_source,license_status,planned_pr
NRH-SCI-Vent,public,published-code,Post-Acute Ventilator Weaning and Discharge Outcomes in Individuals With Cervical Spinal Cord Injury,10.1177/19433654261428406,41823210,No public manuscript Markdown yet; use DOI and repo release metadata until accepted manuscript rights are checked,Publisher article not copied; code MIT; generated figures/tables subject to author/journal policy,AGENTS missing before first rollout; otherwise README mostly complete,Restricted EHR data not public; no PHI should be committed,"stata-mp -b do ""NRH SCI Cohort Paper Analysis.do""; stata-mp -b do ""NRH SCI Cohort Supplemental Sensitivity Analyses.do""",Stata 18 plus README/CITATION metadata,MIT,https://github.com/reblocke/NRH-SCI-Vent/pull/1
AOM-and-Bari-Surg-for-OSA-SRMA,public,published-code-data,The association of weight loss from anti-obesity medications or bariatric surgery and apnea-hypopnea index in obstructive sleep apnea,10.1111/obr.13697,38342767,PubMed Central open-access article available; repo should still avoid copying publisher-formatted PDF,Open-access article and study-level extraction tables; code MIT; cite article for data reuse,AGENTS missing before first rollout; README needs explicit variable/codebook pointer,Study-level extraction data only; no patient-level PHI,"stata-mp -b do ""OSA Wt Loss SRMA.do""",Stata and included Excel workbooks,MIT,https://github.com/reblocke/AOM-and-Bari-Surg-for-OSA-SRMA/pull/1
vr_icu,public,published-code-materials,Immersive Virtual Reality Use in Medical Intensive Care: Mixed Methods Feasibility Study,10.2196/62842,,No public manuscript Markdown audited yet; use DOI and repository materials pending accepted-version check,Open-access JMIR article may be linkable; verify reuse before copying full text,Needs AGENTS and READMEBuilder section audit,Study materials and de-identified outputs only; confirm no participant identifiers,Review README-defined Stata workflow,Stata and repo README,CHECK,https://github.com/reblocke/vr_icu/pull/1
hickams-dictum,public,published-code-data,Hickam's Dictum: An Analysis of Multiple Diagnoses,10.1007/s11606-024-09120-y,,No public manuscript Markdown audited yet; use DOI pending accepted-version check,Publisher text not copied; code/data license present,Needs AGENTS and READMEBuilder section audit,Check for synthetic/de-identified data status before broad reuse,Review README-defined Stata workflow,Stata and repo README,MIT,https://github.com/reblocke/hickams-dictum/pull/1
CSA-CPAP-Prescribing,public,published-code,Predictors of Initial CPAP Prescription and Subsequent Course with CPAP in Patients with Central Sleep Apneas at a Single Center,10.1007/s00408-023-00657-z,,Local accepted draft candidate exists in CSA folder; publisher-policy check needed before Markdown,Publisher text not copied; code license present,Needs AGENTS and READMEBuilder section audit,Clinical sleep-center data likely restricted; verify no PHI,stata-mp -b do <main .do>,Stata and repo README,MIT,https://github.com/reblocke/CSA-CPAP-Prescribing/pull/1
CPAPOutcomes,public,published-code,Electronic health record-derived outcomes in obstructive sleep apnea managed with positive airway pressure tracking systems,10.5664/jcsm.9750,,No public manuscript Markdown audited yet; use DOI pending accepted-version check,Publisher text not copied; license missing in first audit,Needs LICENSE/AGENTS and READMEBuilder section audit,Clinical EHR-derived data likely restricted; verify no PHI,Review README-defined Python workflow,Python dependency files if present,MISSING,https://github.com/reblocke/CPAPOutcomes/pull/1
NHPI-OSA-Burden,public,published-code,Severity Comorbidities and Adherence to Therapy in Native Hawaiians Pacific Islanders With Obstructive Sleep Apnea,10.5664/jcsm.10472,,Local manuscript draft candidates exist; publisher-policy check needed before Markdown,Publisher text not copied; code license present,Needs CITATION/AGENTS and READMEBuilder section audit,Clinical data likely restricted; verify no PHI,Review README-defined Stata workflow,Stata and repo README,MIT,https://github.com/reblocke/NHPI-OSA-Burden/pull/1
CTPA-Dose-Response,public,published-code,Pulmonary artery enlargement and mortality in an emergency department CTPA population,10.1002/pul2.12225,,Local manuscript candidates exist in PA-size project; publisher-policy check needed before Markdown,Publisher text not copied; license missing in first audit,Needs CITATION/LICENSE/AGENTS and READMEBuilder section audit,Clinical imaging/EHR data likely restricted; verify no PHI,Review README-defined workflow,Repo README and scripts,MISSING,https://github.com/reblocke/CTPA-Dose-Response/pull/1
Hypercap-Case-Definitions,public,published-code,The Consistency of Hypercapnic Respiratory Failure Case Definitions in Electronic Health Record Data,10.1016/j.chest.2025.08.002,,CHEST preproof PDF exists locally; do not copy publisher text; seek accepted manuscript,Publisher article not copied; code license present,Needs CITATION/AGENTS and READMEBuilder section audit,TriNetX/EHR-derived data likely restricted; verify no PHI,Review Stata script workflow,Stata and repo README,MIT,https://github.com/reblocke/Hypercap-Case-Definitions/pull/1
Splenectomy-PE,public,published-code,Splenectomy Increases CTEPH Risk and Modifies Clinical Features of Acute Pulmonary Embolism,10.1002/pul2.70231,,No public manuscript Markdown audited yet; use DOI pending accepted-version check,Publisher text not copied; code license present,Needs AGENTS and homepage update from abstract DOI to final paper DOI,Clinical dataset likely restricted; verify no PHI,Review README-defined workflow,Repo README and scripts,MIT,https://github.com/reblocke/Splenectomy-PE/pull/1
Hypercap-Trial-Adverse-Events,public,abstract-code,Hypercapnic Respiratory Failure is Infrequently Reported as an Adverse Event in Clinical Trials,,,No manuscript version expected yet; use abstract/repo summary,Do not add unpublished manuscript text,Needs AGENTS and READMEBuilder section audit,Trial-registry/public extracted data; verify source licensing,Review notebook workflow,Jupyter requirements if present,MIT,https://github.com/reblocke/Hypercap-Trial-Adverse-Events/pull/1
code-seminar-analysis,public,abstract-code-teaching,Enhancing Intern Leadership of Inpatient Emergencies: Evaluating the Impact of a Seminar Addressing Team Dynamics,10.1164/ajrccm.2025.211.Abstracts.A5624,,No manuscript version expected yet; use abstract and repo summary,Do not add unpublished manuscript text,Needs AGENTS and READMEBuilder section audit,Educational evaluation data; verify no trainee identifiers,Review Quarto/R workflow,Repo README and lockfiles,MIT,https://github.com/reblocke/code-seminar-analysis/pull/1
llm_estimate_lrs,public,research-notebooks,LLM-generated likelihood-ratio outputs for diagnostic evidence and agreement with literature-reported values,,,No publication DOI is assigned in this repository; use repository README and commit SHA for reuse,Repository code and notebook text only; do not add publisher text,Needs inclusion in public LLM index and AGENTS/CITATION decision,Generated LLM outputs and literature-derived comparison data; avoid adding API keys or private prompts,Review README notebook workflow; do not run API-spending notebooks in smoke tests unless credentials and cost are approved,Jupyter notebooks and repository README,MIT,https://github.com/reblocke/llm_estimate_lrs/pull/1
abg-vbg-project,public,active-code,Project with Anila Khan on significance of ABG vs VBG,,,No manuscript version public yet; keep to repo summary,Do not add unpublished manuscript text,Needs AGENTS and READMEBuilder section audit,Clinical EHR data likely restricted; verify no PHI,Review TeX/analysis workflow,Repo README and scripts,MIT,no-pr-needed; passed audit on default branch
tcco2-accuracy,public,active-code,Simulation suggests transcutaneous CO2 sensors may accurately detect hypercapnia across settings,,,No manuscript version public yet; use repo-generated manuscript snippets only if authored and intended for release,Do not add unpublished manuscript text,README/AGENTS already present; verify READMEBuilder completeness,Clinical or simulation data; verify no PHI,Review README-defined Python workflow,Python requirements/pyproject if present,MIT,https://github.com/reblocke/tcco2-accuracy/pull/1
TriNetXHypercapnia,public,legacy-code,Code for analyzing TriNetX cohort with hypercapnia,,,No manuscript version public yet; keep to repo summary,Do not add manuscript text,Missing README/CITATION/LICENSE/AGENTS in first audit,TriNetX data definitions only; no restricted row-level data should be public,Review Python workflow,Repo scripts,MISSING,https://github.com/reblocke/TriNetXHypercapnia/pull/1
trinetx-preprocessing,public,tool-code,Python code to process TriNetX database exports to tabular format,,,No manuscript version expected,Code-only repo; no publisher text,Needs CITATION decision and AGENTS/READMEBuilder audit,May describe restricted export schemas; verify no data rows,Review notebook workflow,Jupyter requirements if present,MIT,https://github.com/reblocke/trinetx-preprocessing/pull/1
Bari-CPAP,public,legacy-code,Data analysis of bariatric sleep-wake-center data and ATS 2020 bariatric/CPAP abstracts,,,No manuscript version public yet; keep to repo summary,Do not add manuscript text,Missing README/CITATION/LICENSE/AGENTS in first audit,Clinical sleep-center data likely restricted; verify no PHI,Review Python workflow,Repo scripts,MISSING,https://github.com/reblocke/Bari-CPAP/pull/1
CSA,public,legacy-code,Central sleep apnea data analysis at U of U sleep-wake center,,,Superseded or overlaps with CSA-CPAP-Prescribing; accepted draft candidates exist locally,Do not add manuscript text until repo relationship and publisher policy are checked,Missing README/CITATION/LICENSE/AGENTS in first audit,Clinical sleep-center data likely restricted; verify no PHI,Review Python workflow,Repo scripts,MISSING,https://github.com/reblocke/CSA/pull/1
StateVetsHome,public,legacy-code,Code related to COVID goals-of-care dataset,,,No manuscript version public yet; keep to repo summary,Do not add manuscript text,Missing README/CITATION/LICENSE/AGENTS in first audit,Potentially sensitive goals-of-care data; verify no PHI,Review Python workflow,Repo scripts,MISSING,https://github.com/reblocke/StateVetsHome/pull/1
tele_crit_care,public,research-code,Analysis of tele-critical care transfers during COVID,,,No manuscript version public yet; keep to repo summary,Do not add manuscript text,Needs CITATION decision and AGENTS/READMEBuilder audit,Clinical operations data likely restricted; verify no PHI,Review Stata workflow,Repo README and scripts,MIT,https://github.com/reblocke/tele_crit_care/pull/1
notebooks_dx_reasoning,public,teaching-notebooks,Diagnostic reasoning notebooks and Binder/Voila applets,,,No manuscript version expected,Code and teaching text owned by repo authors; no publisher text,Needs CITATION decision and AGENTS; README needs READMEBuilder-style structure,No patient data; teaching examples only,Run notebook smoke checks or Binder URLs,requirements.txt/runtime.txt,MIT,https://github.com/reblocke/notebooks_dx_reasoning/pull/1
clinical_talks,public,teaching-site,Clinical talks and rendered teaching material,,,No manuscript version expected,Teaching text/slides owned where authored; check third-party images,README present and AGENTS present; verify READMEBuilder completeness,Teaching materials; verify no copyrighted images beyond fair-use/owned,Quarto render or README workflow,Repo lockfiles/requirements,MIT,https://github.com/reblocke/clinical_talks/pull/1
U-of-U-IM-Codes-and-Rapid-Responses,public,teaching-site,Code blue and rapid-response team leadership course site,,,No manuscript version expected,Teaching text owned where authored; check third-party images,CITATION present; needs AGENTS and READMEBuilder audit,Educational data/materials; verify no trainee identifiers,Quarto/site build workflow,Repo README and lockfiles,MIT,https://github.com/reblocke/U-of-U-IM-Codes-and-Rapid-Responses/pull/2
intro_clin_research,public,teaching-site,Guide for students residents and fellows doing clinical research,,,No manuscript version expected,Teaching text owned where authored,Needs CITATION decision and AGENTS/READMEBuilder audit,Teaching materials only,Site build workflow,Repo README and lockfiles,MIT,https://github.com/reblocke/intro_clin_research/pull/1
fellow_stats,public,teaching-site,Workshop to get pulmonary fellows started on statistics,,,No manuscript version expected,Teaching text owned where authored,Missing README/CITATION/AGENTS in first audit,Teaching materials only,Site build workflow,Repo scripts/license,MIT,https://github.com/reblocke/fellow_stats/pull/1
stata-codex-skills,public,tool-code,Builds local Codex skills for Stata from structured YAML and local help sources,,,No manuscript version expected,Code and generated instructions; respect third-party Stata help/source licensing,Needs CITATION decision and AGENTS/READMEBuilder audit,No clinical data expected,Run project tests if present,Python dependency metadata,MIT,https://github.com/reblocke/stata-codex-skills/pull/1
conf_curve_likelihood,public,tool-code,Visualizing confidence curves and Wald/profile likelihood,,,No manuscript version expected,Code and teaching examples owned by repo author,CITATION/README/AGENTS present; verify READMEBuilder completeness,No clinical data expected,Run Python smoke checks,Python dependency metadata,MIT,https://github.com/reblocke/conf_curve_likelihood/pull/9
stewart-light,public,tool-code,Visualization for Stewart-Light acid-base approach,,,No manuscript version expected,Code and teaching examples owned by repo author,Needs CITATION decision; AGENTS/README present,No clinical data expected,Run Python smoke checks,Python dependency metadata,MIT,https://github.com/reblocke/stewart-light/pull/1
forensic_metascience,public,replication-code,Repository for forensic science replications,,,No manuscript version expected,May contain third-party study data; verify reuse terms,Needs CITATION decision; AGENTS/README present,Public replication data; verify source licenses,Run Python smoke checks,Python dependency metadata,MIT,https://github.com/reblocke/forensic_metascience/pull/1
sofa_resp_sim,public,simulation-code,Simulation to explore SOFA respiratory score generation from EHR data at elevation,,,No manuscript version expected,Code and simulation text owned by repo author,CITATION/README/AGENTS present; verify READMEBuilder completeness,Simulation data only,Run Python smoke checks,Python dependency metadata,MIT,https://github.com/reblocke/sofa_resp_sim/pull/6
sodium_change,public,tool-code,Program to evaluate how likely two sodium values represent a real change,,,No manuscript version expected,Code and teaching text owned by repo author,CITATION/README/AGENTS present; verify READMEBuilder completeness,No patient data expected,Run Python smoke checks,Python dependency metadata,MIT,https://github.com/reblocke/sodium_change/pull/1
dx_chat_entropy,public,research-code,Code to analyze clinical-reasoning efficiency via chatbot interactions,,,No manuscript version expected,Code and derived analysis text owned by repo author,CITATION/README/AGENTS present; verify READMEBuilder completeness,Chat data may be sensitive; verify no private transcripts,Run Python smoke checks,Python dependency metadata,MIT,https://github.com/reblocke/dx_chat_entropy/pull/3
